MODULE_EVENT_ID,MODULE_ID,EVENT_TYPE_NAME,IS_ACTIVE,CREATED_TS,MODIFIED_TS,MODULE_NAME
D11AB84B6D59442CC677224DA12CBACD,195C6B8567184CFDB8DEDE1B1601ED6C,EnrollmentApproved,1,29-JUN-16,29-JUN-16,Provider Enrollment
76F4C9B9BF04D113E0530A67A28F8B60,195C6B8567184CFDB8DEDE1B1601ED6C,WorkflowStepUpdated,1,28-SEP-18,28-SEP-18,Provider Enrollment
4EE4392E838348ECB63E8080A39A7FF5,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationApproved,1,17-APR-17,17-APR-17,Provider Enrollment
104ED0FCEF534E16AAEA2358D4D2B6A2,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationPending,1,18-APR-17,18-APR-17,Provider Enrollment
8A94A8D552884441823AA2FB977A4CDD,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationReturnedToProvider,1,18-APR-17,18-APR-17,Provider Enrollment
BDA6382648174123975F2E75F3DEAD9C,195C6B8567184CFDB8DEDE1B1601ED6C,ReenrollmentApproved,1,18-APR-17,18-APR-17,Provider Enrollment
384A0730FC9A41F3A97376C31B18D893,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationDenied,1,18-APR-17,18-APR-17,Provider Enrollment
5C448E138B500C0AE0530A67A28FAE35,195C6B8567184CFDB8DEDE1B1601ED6C,MCOEnrollmentRequest,1,07-DEC-17,07-DEC-17,Provider Enrollment
5C53C84B7C300C22E0530A67A28F7C19,195C6B8567184CFDB8DEDE1B1601ED6C,MCOEnrollmentApproved,1,12-DEC-17,12-DEC-17,Provider Enrollment
6AC355956F079047E0530A67A28F51A3,195C6B8567184CFDB8DEDE1B1601ED6C,ReenrollmentEnrollmentApprovedCredentialingDetails,1,10-MAY-18,10-MAY-18,Provider Enrollment
6AC355956F089047E0530A67A28F51A3,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationEnrollmentApprovedCredentialingDetails,1,10-MAY-18,10-MAY-18,Provider Enrollment
6AAFE294125192F3E0530A67A28F6F89,195C6B8567184CFDB8DEDE1B1601ED6C,EnrollmentSubmitted,1,25-APR-18,25-APR-18,Provider Enrollment
6AC355956F069047E0530A67A28F51A3,195C6B8567184CFDB8DEDE1B1601ED6C,EnrollmentApprovedCredentialingDetails,1,10-MAY-18,10-MAY-18,Provider Enrollment
6E1C20F74F367DDEE0530A67A28FD372,195C6B8567184CFDB8DEDE1B1601ED6C,ReenrollmentRequest,1,07-JUN-18,07-JUN-18,Provider Enrollment
98C9888636C832A9E0530A3C8F0ACFDE,195C6B8567184CFDB8DEDE1B1601ED6C,MCOEnrollmentCreated,1,03-DEC-19,03-DEC-19,Provider Enrollment
B1ECDDEC8B5545429C0862AD5852E220,195C6B8567184CFDB8DEDE1B1601ED6C,RevalidationReady,1,08-MAR-17,08-MAR-17,Provider Enrollment
87FA3FA6FC6431F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCarrierPlanAdded,1,03-MAY-19,03-MAY-19,TPL Policy
87FA3FA6FC6531F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCarrierPlanAttachmentAdded,1,03-MAY-19,03-MAY-19,TPL Policy
86D97E268711DBA6E0530A3C8F0A299B,1FC46E4BBEEF447098A05597693E1E9F,HIPPPaymentHistoryAdded,1,18-APR-19,18-APR-19,TPL Policy
87FA3FA6FC6631F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCarrierPlanAttachmentInvalidated,1,03-MAY-19,03-MAY-19,TPL Policy
87FA3FA6FC6731F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCarrierPlanAttachmentUpdated,1,03-MAY-19,03-MAY-19,TPL Policy
87FA3FA6FC6831F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCarrierPlanUpdated,1,03-MAY-19,03-MAY-19,TPL Policy
87FA3FA6FC6931F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCheckTrackingAdded,1,03-MAY-19,03-MAY-19,TPL Policy
87FA3FA6FC6A31F7E0530A3C8F0AFA4F,1FC46E4BBEEF447098A05597693E1E9F,HIPPCheckTrackingInvalidated,1,03-MAY-19,03-MAY-19,TPL Policy
